# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=WISE
# Wavelength(nm) Transmission(0-1)
18040.00 0.000137
18050.00 0.000119
18060.00 0.000119
18070.00 0.000120
18080.00 0.000120
18090.00 0.000121
18100.00 0.000121
18110.00 0.000122
18120.00 0.000122
18130.00 0.000123
18140.00 0.000123
18150.00 0.000123
18160.00 0.000123
18170.00 0.000123
18180.00 0.000123
18190.00 0.000142
18200.00 0.000149
18210.00 0.000151
18220.00 0.000152
18230.00 0.000151
18240.00 0.000149
18250.00 0.000146
18260.00 0.000141
18270.00 0.000135
18280.00 0.000129
18290.00 0.000119
18300.00 0.000118
18310.00 0.000116
18320.00 0.000114
18330.00 0.000113
18340.00 0.000111
18350.00 0.000110
18360.00 0.000109
18370.00 0.000107
18380.00 0.000106
18390.00 0.000104
18400.00 0.000102
18410.00 0.000099
